slug,name,brand,description,category,subcategory,base_price,material,fit,tags,gender,primary_image_url,image_gallery,active
ff-yoga-wrap-top,Serenity Wrap Training Top,FitFinder Studio,Wrap-front training top with a cross-back design and adjustable ties — versatile enough for yoga class to brunch without changing.,Apparel,Tops,49.99,Bamboo modal blend,Relaxed,yoga top;wrap;cross back;studio;casual;bamboo,women's,/images/products/yoga-wrap-top/front.jpg,"[{""url"":""/images/products/yoga-wrap-top/front.jpg"",""altText"":""Serenity Wrap Top front"",""primary"":true},{""url"":""/images/products/yoga-wrap-top/back.jpg"",""altText"":""Serenity Wrap Top back"",""primary"":false}]",true
ff-tech-polo,TechWeave Sports Polo,FitFinder Athletics,Moisture-wicking sports polo with a no-roll collar and stretch gusset — transitions seamlessly from the golf course to the gym.,Apparel,Tops,59.99,Performance polyester,Regular,polo;golf;sports;moisture-wicking;stretch;casual,men's,/images/products/tech-polo/front.jpg,"[{""url"":""/images/products/tech-polo/front.jpg"",""altText"":""TechWeave Polo front"",""primary"":true},{""url"":""/images/products/tech-polo/side.jpg"",""altText"":""TechWeave Polo side"",""primary"":false}]",true
ff-run-singlet,RaceFit Singlet,FitFinder Athletics,Ultra-minimal race singlet with deep armholes and a dropped hem — cut for maximum freedom of movement on the track and in road races.,Apparel,Tops,34.99,Recycled mesh polyester,Athletic,singlet;racing;track;road running;minimal;lightweight,unisex,/images/products/run-singlet/front.jpg,"[{""url"":""/images/products/run-singlet/front.jpg"",""altText"":""RaceFit Singlet front"",""primary"":true},{""url"":""/images/products/run-singlet/back.jpg"",""altText"":""RaceFit Singlet back"",""primary"":false}]",true
ff-merino-crew,Merino Everyday Crew,FitFinder Essentials,Mid-weight 200gsm merino crew that goes from the trail to the coffee shop — wrinkle-resistant and machine washable.,Apparel,Tops,84.99,200gsm merino wool,Regular,merino;everyday;versatile;odour-resistant;machine washable;casual,unisex,/images/products/merino-crew/front.jpg,"[{""url"":""/images/products/merino-crew/front.jpg"",""altText"":""Merino Crew front"",""primary"":true},{""url"":""/images/products/merino-crew/back.jpg"",""altText"":""Merino Crew back"",""primary"":false}]",true
ff-hooded-windshirt,TrailBreeze Hooded Windshirt,FitFinder Athletics,Packable hooded windshirt with a chest-zip pocket that doubles as a stuff sack — DWR finish sheds light rain on breezy trail days.,Apparel,Tops,79.99,Ripstop nylon DWR,Athletic,windshirt;packable;DWR;hooded;trail;wind resistant,women's,/images/products/hooded-windshirt/front.jpg,"[{""url"":""/images/products/hooded-windshirt/front.jpg"",""altText"":""TrailBreeze Windshirt front"",""primary"":true},{""url"":""/images/products/hooded-windshirt/packed.jpg"",""altText"":""TrailBreeze Windshirt packed"",""primary"":false}]",true
ff-run-capri,RunFlex 3/4 Capri,FitFinder Athletics,High-rise 3/4 capri with a wide waistband phone pocket and reflective ankle accents — designed for cool-morning and evening runs.,Apparel,Bottoms,64.99,Nylon elastane,Compression,capri;3/4 tight;running;reflective;high-rise;phone pocket,women's,/images/products/run-capri/front.jpg,"[{""url"":""/images/products/run-capri/front.jpg"",""altText"":""RunFlex Capri front"",""primary"":true},{""url"":""/images/products/run-capri/back.jpg"",""altText"":""RunFlex Capri back pocket"",""primary"":false}]",true
ff-cycle-bib,ProPedal Bib Shorts,FitFinder Cycle,Italian Lycra bib shorts with a 10mm chamois pad and wide shoulder straps — engineered for 4+ hour road rides and gran fondos.,Apparel,Bottoms,149.99,Italian Lycra,Compression,bib shorts;cycling;chamois;road cycling;long ride;gran fondo,men's,/images/products/cycle-bib/front.jpg,"[{""url"":""/images/products/cycle-bib/front.jpg"",""altText"":""ProPedal Bib Shorts front"",""primary"":true},{""url"":""/images/products/cycle-bib/detail.jpg"",""altText"":""ProPedal chamois detail"",""primary"":false}]",true
ff-swim-trunk,WaveBreak Swim Trunk,FitFinder Aquatics,Quick-dry 17" swim trunk with a mesh inner brief and zip back pocket — from the pool to the beach without missing a beat.,Apparel,Bottoms,49.99,Recycled polyester,Regular,swim trunk;beach;pool;quick dry;zip pocket;summer,men's,/images/products/swim-trunk/front.jpg,"[{""url"":""/images/products/swim-trunk/front.jpg"",""altText"":""WaveBreak Swim Trunk front"",""primary"":true},{""url"":""/images/products/swim-trunk/back.jpg"",""altText"":""WaveBreak Swim Trunk back pocket"",""primary"":false}]",true
ff-yoga-short-w,ZenShort 3" Yoga Short,FitFinder Studio,Ultra-soft 3-inch yoga short with a wide flat waistband and built-in liner — lightweight and breathable for hot yoga and pilates.,Apparel,Bottoms,39.99,Bamboo nylon blend,Fitted,yoga shorts;3-inch;hot yoga;pilates;built-in liner;lightweight,women's,/images/products/yoga-short-w/front.jpg,"[{""url"":""/images/products/yoga-short-w/front.jpg"",""altText"":""ZenShort front"",""primary"":true},{""url"":""/images/products/yoga-short-w/side.jpg"",""altText"":""ZenShort side"",""primary"":false}]",true
ff-thermal-tight,ThermalRun Tight,FitFinder Athletics,Fleece-lined running tight with a back zip pocket and reflective piping — keeps legs warm through winter training without restricting stride.,Apparel,Bottoms,84.99,Fleece-lined polyester,Compression,running tights;thermal;fleece lined;winter running;reflective;cold weather,men's,/images/products/thermal-tight/front.jpg,"[{""url"":""/images/products/thermal-tight/front.jpg"",""altText"":""ThermalRun Tight front"",""primary"":true},{""url"":""/images/products/thermal-tight/back.jpg"",""altText"":""ThermalRun Tight back pocket"",""primary"":false}]",true
ff-boardshort,Barrel Wave Board Short,FitFinder Aquatics,"20-inch boardshort with a stretch waistband, lace-up fly, and quick-dry recycled fabric — built for surf sessions and beach volleyball.",Apparel,Bottoms,59.99,Recycled polyester,Regular,boardshort;surf;beach;quick dry;volleyball;summer,men's,/images/products/boardshort/front.jpg,"[{""url"":""/images/products/boardshort/front.jpg"",""altText"":""Barrel Wave Boardshort front"",""primary"":true},{""url"":""/images/products/boardshort/back.jpg"",""altText"":""Barrel Wave Boardshort back"",""primary"":false}]",true
ff-trail-skort,TrailSkirt with Inner Short,FitFinder Athletics,Technical trail skort with a secure inner short and two side pockets — designed for trail racing and fastpacking where comfort meets coverage.,Apparel,Bottoms,69.99,Recycled nylon,Athletic,skort;trail running;inner short;pockets;trail racing;fastpacking,women's,/images/products/trail-skort/front.jpg,"[{""url"":""/images/products/trail-skort/front.jpg"",""altText"":""TrailSkirt front"",""primary"":true},{""url"":""/images/products/trail-skort/side.jpg"",""altText"":""TrailSkirt inner short detail"",""primary"":false}]",true
ff-hike-short,Summit Hike Short,FitFinder Trail,8-inch nylon hiking short with articulated knees and four pockets including a secure zip thigh pocket — durable enough for scrambles and bushwhacking.,Apparel,Bottoms,64.99,Stretch nylon,Regular,hiking shorts;8-inch;articulated;zip pocket;scrambling;outdoor,unisex,/images/products/hike-short/front.jpg,"[{""url"":""/images/products/hike-short/front.jpg"",""altText"":""Summit Hike Short front"",""primary"":true},{""url"":""/images/products/hike-short/pocket.jpg"",""altText"":""Summit Hike Short zip pocket"",""primary"":false}]",true
ff-swim-legging-w,AquaFlex Swim Legging,FitFinder Aquatics,Full-length chlorine-resistant swim legging with UPF 50+ coverage — ideal for lap swimming and open water when you want full-leg sun protection.,Apparel,Bottoms,59.99,Chlorine-resistant lycra,Compression,swim legging;chlorine resistant;UPF 50;full length;lap swimming;sun protection,women's,/images/products/swim-legging-w/front.jpg,"[{""url"":""/images/products/swim-legging-w/front.jpg"",""altText"":""AquaFlex Swim Legging front"",""primary"":true},{""url"":""/images/products/swim-legging-w/back.jpg"",""altText"":""AquaFlex Swim Legging back"",""primary"":false}]",true
ff-comp-3q-tight,CompressX 3/4 Tight,FitFinder Athletics,Graduated compression 3/4 tight with zoned support panels and a wide waistband — reduces muscle fatigue during intervals and aids recovery.,Apparel,Bottoms,74.99,Nylon elastane,Compression,compression;3/4;graduated;muscle support;intervals;recovery,women's,/images/products/comp-3q-tight/front.jpg,"[{""url"":""/images/products/comp-3q-tight/front.jpg"",""altText"":""CompressX 3/4 Tight front"",""primary"":true},{""url"":""/images/products/comp-3q-tight/back.jpg"",""altText"":""CompressX 3/4 Tight back"",""primary"":false}]",true
ff-run-brief,RaceLine Running Brief,FitFinder Athletics,2-inch split running brief with a built-in brief liner and side key loop — minimal coverage designed for track racing and hot-weather 5K and 10K events.,Apparel,Bottoms,29.99,Recycled polyester,Athletic,running brief;split;track;racing;minimal;5K;10K;hot weather,men's,/images/products/run-brief/front.jpg,"[{""url"":""/images/products/run-brief/front.jpg"",""altText"":""RaceLine Brief front"",""primary"":true},{""url"":""/images/products/run-brief/back.jpg"",""altText"":""RaceLine Brief back"",""primary"":false}]",true
ff-sweat-jogger,Revival Sweat Jogger,FitFinder Essentials,"French terry sweat jogger with tapered leg, side pockets, and a relaxed fit — premium recovery and travel comfort.",Apparel,Bottoms,69.99,French terry cotton,Relaxed,joggers;sweatpants;recovery;lounge;travel;comfort;french terry,unisex,/images/products/sweat-jogger/front.jpg,"[{""url"":""/images/products/sweat-jogger/front.jpg"",""altText"":""Revival Sweat Jogger front"",""primary"":true},{""url"":""/images/products/sweat-jogger/side.jpg"",""altText"":""Revival Sweat Jogger side"",""primary"":false}]",true
ff-3in1-jacket,Summit 3-in-1 Jacket,FitFinder Alpine,"Waterproof shell with a removable fleece liner — three jackets in one for ski resort days, backcountry approaches, and everything in between.",Apparel,Outerwear,349.99,Nylon shell with fleece liner,Regular,3-in-1;waterproof;fleece;versatile;ski;backcountry;winter,men's,/images/products/3in1-jacket/front.jpg,"[{""url"":""/images/products/3in1-jacket/front.jpg"",""altText"":""Summit 3-in-1 combined"",""primary"":true},{""url"":""/images/products/3in1-jacket/shell.jpg"",""altText"":""Summit 3-in-1 shell only"",""primary"":false},{""url"":""/images/products/3in1-jacket/liner.jpg"",""altText"":""Summit 3-in-1 liner only"",""primary"":false}]",true
ff-softshell-w,Alpine Softshell Jacket,FitFinder Alpine,Four-way stretch softshell jacket with a helmet-compatible hood and underarm vents — the ideal climbing and ski touring outer layer.,Apparel,Outerwear,219.99,4-way stretch softshell,Athletic,softshell;climbing;ski touring;stretch;windproof;vented,women's,/images/products/softshell-w/front.jpg,"[{""url"":""/images/products/softshell-w/front.jpg"",""altText"":""Alpine Softshell front"",""primary"":true},{""url"":""/images/products/softshell-w/back.jpg"",""altText"":""Alpine Softshell back vent"",""primary"":false}]",true
ff-rain-poncho,UltraLight Rain Poncho,FitFinder Athletics,Ultra-packable silnylon rain poncho that stuffs into its own hood pocket — 150g emergency weather protection for trail runners and hikers.,Apparel,Outerwear,59.99,Silnylon,One size,rain poncho;packable;emergency;ultralight;trail running;hiking;silnylon,unisex,/images/products/rain-poncho/front.jpg,"[{""url"":""/images/products/rain-poncho/front.jpg"",""altText"":""UltraLight Poncho front"",""primary"":true},{""url"":""/images/products/rain-poncho/packed.jpg"",""altText"":""UltraLight Poncho packed"",""primary"":false}]",true
ff-puffer-w,CloudFill Puffer Jacket,FitFinder Alpine,PrimaLoft synthetic insulation puffer jacket that stays warm when wet — a reliable alternative to down for high-humidity alpine and coastal environments.,Apparel,Outerwear,229.99,PrimaLoft synthetic fill,Regular,puffer;synthetic insulation;PrimaLoft;waterproof;alpine;coastal;warm when wet,women's,/images/products/puffer-w/front.jpg,"[{""url"":""/images/products/puffer-w/front.jpg"",""altText"":""CloudFill Puffer front"",""primary"":true},{""url"":""/images/products/puffer-w/back.jpg"",""altText"":""CloudFill Puffer back"",""primary"":false}]",true
ff-hardshell-m,GraniteShell Hardshell Jacket,FitFinder Alpine,Three-layer Gore-Tex hardshell with fully taped seams and a storm hood — summit-ready waterproof protection for alpine climbing and expedition trekking.,Apparel,Outerwear,449.99,3-layer Gore-Tex,Regular,hardshell;Gore-Tex;waterproof;alpine;climbing;expedition;taped seams,men's,/images/products/hardshell-m/front.jpg,"[{""url"":""/images/products/hardshell-m/front.jpg"",""altText"":""GraniteShell front"",""primary"":true},{""url"":""/images/products/hardshell-m/back.jpg"",""altText"":""GraniteShell back"",""primary"":false},{""url"":""/images/products/hardshell-m/hood.jpg"",""altText"":""GraniteShell storm hood detail"",""primary"":false}]",true
ff-windbreaker-w,VeloWind Cycling Windbreaker,FitFinder Cycle,Packable cycling windbreaker with a dropped rear hem and gripper elastic — packs into a back jersey pocket for descents and unexpected weather.,Apparel,Outerwear,99.99,Ripstop nylon,Fitted,windbreaker;cycling;packable;wind resistant;descent;jersey pocket,women's,/images/products/windbreaker-w/front.jpg,"[{""url"":""/images/products/windbreaker-w/front.jpg"",""altText"":""VeloWind Windbreaker front"",""primary"":true},{""url"":""/images/products/windbreaker-w/packed.jpg"",""altText"":""VeloWind packed small"",""primary"":false}]",true
ff-fleece-jacket,PolarGrid Fleece Jacket,FitFinder Essentials,Classic full-zip grid-fleece jacket with two hand pockets and a chin guard — an essential everyday warm layer for camp and casual use.,Apparel,Outerwear,89.99,Recycled grid fleece,Regular,fleece jacket;full-zip;everyday;camp;warm;casual,unisex,/images/products/fleece-jacket/front.jpg,"[{""url"":""/images/products/fleece-jacket/front.jpg"",""altText"":""PolarGrid Fleece front"",""primary"":true},{""url"":""/images/products/fleece-jacket/back.jpg"",""altText"":""PolarGrid Fleece back"",""primary"":false}]",true
ff-rain-jacket-w,StormShield Rain Jacket,FitFinder Alpine,2.5-layer waterproof-breathable rain jacket with sealed seams and a packable hood — versatile wet-weather protection for hiking and everyday commuting.,Apparel,Outerwear,179.99,2.5-layer waterproof nylon,Regular,rain jacket;waterproof;breathable;packable;hiking;commute;sealed seams,women's,/images/products/rain-jacket-w/front.jpg,"[{""url"":""/images/products/rain-jacket-w/front.jpg"",""altText"":""StormShield Rain Jacket front"",""primary"":true},{""url"":""/images/products/rain-jacket-w/detail.jpg"",""altText"":""StormShield sealed seam detail"",""primary"":false}]",true
ff-insulated-parka,BaseCamp Insulated Parka,FitFinder Alpine,Hip-length 600-fill down parka with a faux-fur trimmed hood and side zip pockets — built for extreme cold at base camp and city winters alike.,Apparel,Outerwear,399.99,600-fill responsible down,Regular,parka;down;insulated;extreme cold;faux fur;winter;base camp,unisex,/images/products/insulated-parka/front.jpg,"[{""url"":""/images/products/insulated-parka/front.jpg"",""altText"":""BaseCamp Parka front"",""primary"":true},{""url"":""/images/products/insulated-parka/back.jpg"",""altText"":""BaseCamp Parka back"",""primary"":false}]",true
ff-sun-hoody,UPF 50+ Sun Hoody,FitFinder Athletics,Lightweight UPF 50+ hooded sun shirt with thumbholes and a face-guard collar — essential for desert running and alpine ridge traverses.,Apparel,Outerwear,64.99,Lightweight polyester UPF,Regular,sun hoody;UPF 50;hooded;thumbholes;desert;alpine;sun protection,unisex,/images/products/sun-hoody/front.jpg,"[{""url"":""/images/products/sun-hoody/front.jpg"",""altText"":""UPF Sun Hoody front"",""primary"":true},{""url"":""/images/products/sun-hoody/back.jpg"",""altText"":""UPF Sun Hoody back"",""primary"":false}]",true
ff-impact-bra-hi,PowerSurge High Impact Sports Bra,FitFinder Athletics,High-impact encapsulation sports bra with adjustable straps and underwire-free support — engineered for running and HIIT workouts up to a D cup.,Apparel,Sports Bras,64.99,Nylon elastane,Fitted,high impact;running bra;encapsulation;adjustable straps;HIIT;support,women's,/images/products/impact-bra-hi/front.jpg,"[{""url"":""/images/products/impact-bra-hi/front.jpg"",""altText"":""PowerSurge Bra front"",""primary"":true},{""url"":""/images/products/impact-bra-hi/back.jpg"",""altText"":""PowerSurge Bra back"",""primary"":false}]",true
ff-strappy-bra,CrossBack Strappy Sports Bra,FitFinder Studio,Low-to-medium impact strappy sports bra with a geometric cross-back design — the yoga and pilates bra that doubles as a going-out top.,Apparel,Sports Bras,44.99,Nylon spandex,Fitted,strappy bra;yoga;pilates;cross back;medium impact;fashion,women's,/images/products/strappy-bra/front.jpg,"[{""url"":""/images/products/strappy-bra/front.jpg"",""altText"":""CrossBack Bra front"",""primary"":true},{""url"":""/images/products/strappy-bra/back.jpg"",""altText"":""CrossBack Bra back design"",""primary"":false}]",true
ff-zip-bra,FrontZip Sports Bra,FitFinder Athletics,Medium-impact front-zip sports bra with moisture-wicking mesh panels — easy on and off for post-workout when your arms are tired.,Apparel,Sports Bras,54.99,Polyester elastane,Fitted,front zip;sports bra;medium impact;mesh;easy on off;cycling;gym,women's,/images/products/zip-bra/front.jpg,"[{""url"":""/images/products/zip-bra/front.jpg"",""altText"":""FrontZip Bra front"",""primary"":true},{""url"":""/images/products/zip-bra/back.jpg"",""altText"":""FrontZip Bra back"",""primary"":false}]",true
ff-longline-bra,LongLine Seamless Sports Bra,FitFinder Studio,Seamless longline sports bra with light padding and a cropped hem — provides light-to-medium support for yoga and low-impact studio workouts.,Apparel,Sports Bras,49.99,Seamless nylon elastane,Fitted,longline;seamless;light support;yoga;studio;low impact;crop,women's,/images/products/longline-bra/front.jpg,"[{""url"":""/images/products/longline-bra/front.jpg"",""altText"":""LongLine Bra front"",""primary"":true},{""url"":""/images/products/longline-bra/side.jpg"",""altText"":""LongLine Bra side"",""primary"":false}]",true
ff-racerback-bra-hi,MaxSupport Racerback Bra,FitFinder Athletics,Maximum-support racerback sports bra with underwire-free moulded cups and adjustable back band — handles marathon and obstacle race demands.,Apparel,Sports Bras,69.99,Nylon elastane,Fitted,max support;racerback;moulded cups;marathon;obstacle race;high impact,women's,/images/products/racerback-bra-hi/front.jpg,"[{""url"":""/images/products/racerback-bra-hi/front.jpg"",""altText"":""MaxSupport Bra front"",""primary"":true},{""url"":""/images/products/racerback-bra-hi/back.jpg"",""altText"":""MaxSupport Bra back"",""primary"":false}]",true
ff-onepiece-swim,Velocity One-Piece Swimsuit,FitFinder Aquatics,Chlorine-resistant one-piece swimsuit with a cross-back design and moderate coverage — built for serious lap swimmers and triathlon training.,Apparel,Swimwear,89.99,Chlorine-resistant lycra,Athletic,one-piece;lap swimming;chlorine resistant;triathlon;cross back;competitive,women's,/images/products/onepiece-swim/front.jpg,"[{""url"":""/images/products/onepiece-swim/front.jpg"",""altText"":""Velocity One-Piece front"",""primary"":true},{""url"":""/images/products/onepiece-swim/back.jpg"",""altText"":""Velocity One-Piece back"",""primary"":false}]",true
ff-tri-suit,TriForce Race Suit,FitFinder Aquatics,Short-sleeved triathlon race suit with a 10cm chamois pad and quick-dry panels — transitions from swim to bike to run without changing.,Apparel,Swimwear,179.99,Lycra polyester blend,Compression,triathlon;tri suit;race;swim bike run;chamois;quick dry;transition,unisex,/images/products/tri-suit/front.jpg,"[{""url"":""/images/products/tri-suit/front.jpg"",""altText"":""TriForce Race Suit front"",""primary"":true},{""url"":""/images/products/tri-suit/back.jpg"",""altText"":""TriForce Race Suit back"",""primary"":false}]",true
ff-swim-brief,AquaRacer Swim Brief,FitFinder Aquatics,Competition-cut chlorine-resistant swim brief with a durable drawstring waist — regulation-compliant for pool meets and competitive swimming.,Apparel,Swimwear,34.99,Chlorine-resistant polyester,Athletic,swim brief;competition;chlorine resistant;pool;racing;competitive swimming,men's,/images/products/swim-brief/front.jpg,"[{""url"":""/images/products/swim-brief/front.jpg"",""altText"":""AquaRacer Brief front"",""primary"":true},{""url"":""/images/products/swim-brief/back.jpg"",""altText"":""AquaRacer Brief back"",""primary"":false}]",true
ff-bikini-top,WaveForm Bikini Top,FitFinder Aquatics,Adjustable-strap bikini top with underwire support and secure side-tie closure — stays in place through beach volleyball and ocean swimming.,Apparel,Swimwear,44.99,Recycled nylon lycra,Fitted,bikini top;beach;underwire;adjustable;volleyball;swimming;summer,women's,/images/products/bikini-top/front.jpg,"[{""url"":""/images/products/bikini-top/front.jpg"",""altText"":""WaveForm Bikini Top front"",""primary"":true},{""url"":""/images/products/bikini-top/back.jpg"",""altText"":""WaveForm Bikini Top back"",""primary"":false}]",true
ff-bikini-bottom,WaveForm Bikini Bottom,FitFinder Aquatics,Mid-rise bikini bottom with a scrunch-back design and full seat coverage — pairs with the WaveForm top or any bikini top.,Apparel,Swimwear,39.99,Recycled nylon lycra,Regular,bikini bottom;mid-rise;beach;swimming;summer;scrunch back,women's,/images/products/bikini-bottom/front.jpg,"[{""url"":""/images/products/bikini-bottom/front.jpg"",""altText"":""WaveForm Bikini Bottom front"",""primary"":true},{""url"":""/images/products/bikini-bottom/back.jpg"",""altText"":""WaveForm Bikini Bottom back"",""primary"":false}]",true
ff-swim-comp-legging,AquaCompression Swim Legging,FitFinder Aquatics,High-waist chlorine-resistant compression swim legging with UPF 50+ fabric — reduces drag in open-water events and provides sun protection on long swims.,Apparel,Swimwear,69.99,Chlorine-resistant lycra,Compression,swim legging;compression;open water;UPF 50;chlorine resistant;drag reduction,women's,/images/products/swim-comp-legging/front.jpg,"[{""url"":""/images/products/swim-comp-legging/front.jpg"",""altText"":""AquaCompression Legging front"",""primary"":true},{""url"":""/images/products/swim-comp-legging/back.jpg"",""altText"":""AquaCompression Legging back"",""primary"":false}]",true
ff-rashguard-m,TideRunner Rash Guard,FitFinder Aquatics,Short-sleeve surf rash guard with UPF 50+ protection and a rubber logo that prevents board wax transfer — made from 100% recycled ocean plastic.,Apparel,Swimwear,49.99,Recycled ocean plastic lycra,Athletic,rash guard;surf;UPF 50;recycled;ocean plastic;short sleeve;wax resistant,men's,/images/products/rashguard-m/front.jpg,"[{""url"":""/images/products/rashguard-m/front.jpg"",""altText"":""TideRunner Rash Guard front"",""primary"":true},{""url"":""/images/products/rashguard-m/back.jpg"",""altText"":""TideRunner Rash Guard back"",""primary"":false}]",true
ff-swim-shorts-m,AquaFlex Swim Shorts,FitFinder Aquatics,5-inch swim short with a compression liner for performance coverage — faster-drying than a boardshort with more coverage than a swim brief.,Apparel,Swimwear,44.99,Recycled polyester,Athletic,swim shorts;5-inch;compression liner;quick dry;pool;beach;performance,men's,/images/products/swim-shorts-m/front.jpg,"[{""url"":""/images/products/swim-shorts-m/front.jpg"",""altText"":""AquaFlex Swim Shorts front"",""primary"":true},{""url"":""/images/products/swim-shorts-m/back.jpg"",""altText"":""AquaFlex Swim Shorts back"",""primary"":false}]",true
